id,college_name,university_id,affiliation,status,domain_name
199,B.A & K.R COLLEGE OF EDUCATION,2,Affiliated College,1,
200,B.A & K.R DEGREE COLLEGE,2,Affiliated College,1,
201,B.B.H DEGREE COLLEGE,2,Affiliated College,1,
202,"B.G DEGREE COLLEGE, SATTENAPALLI",2,Affiliated College,1,
203,B.G.B.S. COLLEGE FOR WOMEN,3,Affiliated College,1,
204,B.H.H DEGREE COLLEGE FOR WOMEN,2,Affiliated College,1,
205,B.J.T.DEGREE COLLEGE,14,Affiliated College,1,
206,"B.M.DEGREE COLLEGE, P.DORNALA",2,Affiliated College,1,
207,B.R COLLEGE OF EDUCATION,2,Affiliated College,1,
208,"B.R.COLLEGE OF EDUCATION, NARSIPATNAM, VISAKHAPATNAM",4,Affiliated College,1,
209,"B.R.M.B.ED. COLLEGE OF EDUCATION, CHITTOOR",23,Affiliated College,1,
210,B.R.R. & G.K.R. CHAMBERS DEGREE COLLEGE,4,Affiliated College,1,
211,B.S. & J.R. DEGREE COLLEGE,7,Affiliated College,1,
212,"B.S.R DEGREE AND PG COLLEGE, THATITHOPU",23,Affiliated College,1,
213,B.S.R. DEGREE COLLEGE,4,Affiliated College,1,
214,B.S.S.B COLLEGE,2,Affiliated College,1,
215,"B.T. COLLEGE, MADANAPALLI",23,Affiliated College,1,
216,"B.T.COLLEGE, MADANAPALLE URBAN (PERMANENT AFFILIATION)",23,Affiliated College,1,
217,B.V.K.DEGREE COLLEGE,4,Affiliated College,1,
218,B.V.S.P.M DEGREE COLLEGE,2,Affiliated College,1,
219,"BA&KR MCA&MBA COLLEGE, NH-5, DODDAVARAPPADU, ONGOLE- 523211(CC-8R)",12,Affiliated College,1,
220,"BABA INSTITUTE OF TECHNOLOGY & SCIENCE, P.M. PALEM, BAKKANNAPALEM VILLAGE, MADHURAWADA, PIN-530048 (CC-NR)",12,Affiliated College,1,
221,BADAGALA SANKARA RAO DEGREE COLLEGE,7,Affiliated College,1,
222,"BADARI INSTITUTE OF TECHNOLOGY & SCIENCE FOR WOMEN, SARPAVARAM, KAKINADA-533005 (CC-6U)",12,Affiliated College,1,
223,BALAJI COLLEGE OF EDUCATION,28,Affiliated College,1,
224,"BALAJI COLLEGE OF NURSING, ANANTAPUR",6,Affiliated College,1,
225,"BALAJI COLLEGE OF NURSING, TIRUPATI",6,Affiliated College,1,
226,"BALAJI COLLEGE OF PHARMACY, ANANTAPUR",11,Affiliated College,1,
227,BALAJI DEGREE COLLEGE,2,Affiliated College,1,
228,BALAJI INSTITUTE OF I.T & MANAGEMENT,11,Affiliated College,1,
229,"BALAJI INSTITUTE OF TECHNOLOGY & SCIENCE, PRODDUTUR",11,Affiliated College,1,
230,BALASU RAMA RAO DEGREE COLLEGE,4,Affiliated College,1,
231,"BALAYESU DEGREE COLLEGE, HINDUPUR",19,Affiliated College,1,
232,BAPATLA COLLEGE OF ARTS & SCIENCE,2,Affiliated College,1,
233,"BAPATLA COLLEGE OF PHARMACY, BAPATLA-522101(CC-10)",12,Affiliated College,1,
