id,college_name,university_id,affiliation,status,domain_name
247,"Bharath College Of Engineering And Technology For Women, Anantapur",11,Affiliated College,1,
248,"Bharath Educational Society Group Of Insittutions, (Integrated Campus) Angllu",11,Affiliated College,1,
249,"Bharathi College Of Education, Nandyal",17,Affiliated College,1,
250,"Bharathi Degree College, Guntur",2,Affiliated College,1,
251,"Bhashyam College Of Education, Guntur",2,Affiliated College,1,
252,"Bhaskara Degree College, Visakhapatnam",4,Affiliated College,1,
253,"Bhaskara Institute Of Pharmacy, Visakhapatnam",4,Affiliated College,1,
254,"Bhavani College Of Education, Visakhapatnam",4,Affiliated College,1,
255,"Bhavani Pg College For Mba, Visakhapatnam",4,Affiliated College,1,
256,"Bheema Institute Of Technology & Sciences, Adoni",11,Affiliated College,1,
257,"Bheemi Reddy Institute Of Management Science, Adoni",11,Affiliated College,1,
258,"Bhimavaram Institute Of Engineering & Technology, Swamy Gnananadha Ashram Road",12,Affiliated College,1,
259,"Bishop Azariah Degree College For Women, Machhlipattanam",14,Affiliated College,1,
260,"Bit Insitute Of Technology, (F3) Hindupur",11,Affiliated College,1,
261,"Bkrm Degree College, Kadapa",28,Affiliated College,1,
262,"Bkrm Degree College, Pulivendla",28,Affiliated College,1,
263,"Bless College Of Nursing, Tirupati",6,Affiliated College,1,
264,"Blossom Degree College, Mulakalacheruvu",23,Affiliated College,1,
265,"Bmrm Jhansi B.Ed College, Guntur",2,Affiliated College,1,
266,"Bollineni College Of Nursing, Nellore",6,Affiliated College,1,
267,"Bonam Venkata Chalamaiah Engineering College, Odalarevu",12,Affiliated College,1,
268,"Bonam Venkata Chalamaiah Institute Of Technology And Science, Batlapalem",12,Affiliated College,1,
269,"Brahmaiah College Of Engineering, Anantapur",11,Affiliated College,1,
270,"Brilliants Degree College, East Godawari",3,Affiliated College,1,
271,"Brindavan Institue Of Management & Scinence, Kurnool",11,Affiliated College,1,
272,"Bs & Jr College Of Education, Etcherla",7,Affiliated College,1,
273,"Bsnm College Of Education, Visakhapatnam",4,Affiliated College,1,
274,"Bsr Degree College, Thatithopu",23,Affiliated College,1,
275,"Buchepalli Venkayamma Subbareddy Engineering College, Ongole",12,Affiliated College,1,
276,"Buddah Ramesh Babu Memorial Degree College, Visakhapatnam",4,Affiliated College,1,
277,"Bvc College Of Engineering, Palacharla",12,Affiliated College,1,
278,"C.B.R.Degree College, Visakhapatnam",4,Affiliated College,1,
279,"C.Gangi Reddy Degree College, Kadapa",28,Affiliated College,1,
280,"C.I.L.For Rural Management, Guntur",2,Affiliated College,1,
281,"C.N.R. Degree College, East Godawari",3,Affiliated College,1,
282,"C.R. College, Guntur",2,Affiliated College,1,
283,"C.R.Reddy Degree College, Kadapa",28,Affiliated College,1,
284,"C.S.R. Sarma College, Guntur",2,Affiliated College,1,
285,"C.S.T.S. Govt. Kalasala, Visakhapatnam",4,Affiliated College,1,
286,"C.V. Raman Degree College, Tadipatri",19,Affiliated College,1,
287,"C.V.L.N.R. Degree College, Anantapur",19,Affiliated College,1,
288,"C.V.Raman Arts & Science College, Varadaiahpalem",23,Affiliated College,1,
289,"C.V.S. Krishna Theja Degree College, Tirupati Urban",23,Affiliated College,1,
290,"Care Waltair College Of Nursing, Visakhapatnam",6,Affiliated College,1,
291,"Career Degree College, Guntur",2,Affiliated College,1,
292,"Catherine College Of Education, Visakhapatnam",4,Affiliated College,1,
293,"Cattamanchi Ramlinga Reddy College Of Education, Kurnool",17,Affiliated College,1,
294,"Cdr Degree College, Kalluru",23,Affiliated College,1,
295,"Ch. S.D. St. Theresas College For Women, East Godawari",3,Affiliated College,1,
