id,university_name,university_type,website,country_id
669,"Mangalayatan University, Aligarh",State Private University,www.mangalayatan.in,99
670,"Manyawar Shri Kanshiram Ji University Of Agriculture And Technology, Banda",State Public University,www.mskjuat.edu.in,99
671,"Mohammad Ali Jauhar University, Rampur",State Private University,www.jauharuniversity.edu.in,99
672,Monad University,State Private University,monad.edu.in,99
673,"Motilal Nehru National Institute Of Technology, Allahabad",Institute of National Importance,www.mnnit.ac.in,99
674,"Narendra Deo University Of Agriculture & Technology, Faizabad",State Public University,nduat.in,99
675,"Nehru Gram Bharati, Allahabad",Deemed University-Private,"www.ngbu.edu.in , www.nehrugrambharati.org.in",99
676,Noida International University,State Private University,http://niu.edu.in,99
677,"Rajiv Gandhi Institute Of Petroleum Technology, Rae Bareli",Institute of National Importance,www.rgipt.ac.in,99
678,"Sam Higginbottom Institute Of Agriculture, Technology & Sciences, Allahabad",Deemed University-Government Aided,shiats.edu.in,99
679,"Sampurnanand Sanskrit Vishwavidyalaya, Varanasi",State Public University,ssvv.ac.in,99
680,"Sanjay Gandhi Post Graduate Institute Of Medical Sciences, Lucknow",Institute under State Legislature Act,www.sgpgi.ac.in,99
681,"Santosh University, Ghaziabad",Deemed University-Private,www.santoshuniversity.com,99
682,"Sardar Vallabh Bhai Patel University Of Agriculture & Technology, Meerut",State Public University,svbpmeerut.ac.in,99
683,"Sharda University, Gautam Budh Nagar",State Private University,www.sharda.ac.in,99
684,Shiv Nadar University,State Private University,www.snu.edu.in,99
685,"Shobhit University, Gangoh",State Private University,,99
686,"Shobit Institute Of Engineering & Technology, Meerut",Deemed University-Private,www.shobhituniversity.ac.in,99
687,Shri Ramswaroop Memorial University,State Private University,,99
688,"Sri Venkateshwara University, Gajraula, J.P Nagar",State Private University,www.svu.edu.in,99
689,"Swami Vivekananda Subharti University, Meerut",State Private University,www.subharti.org,99
690,"Teerthanker Mahaveer University, Moradabad",State Private University,www.tmu.ac.in,99
691,"U.P. Rajarshi Tandon Open University, Allahabad",State Open University,www.uprtou.ac.in,99
692,"University Of Allahabad, Allahabad",Central University,http://www.allduniv.ac.in,99
693,"Up Pandit Deen Dayal Upadhyaya Veterinary University & Gau-Anusandhan Sansthan, Mathura",State Public University,www.upvetuniv.edu.in,99
694,"Gautam Buddh Technical University, Lucknow",State Public University,www.uptu.ac.in,99
695,Uttar Pradesh Viklang Uddhar Dr Shakuntala Misra University,State Public University,http://dsmru.up.nic.in,99
696,"Veer Bahadur Singh Purvanchal University, Jaunpur",State Public University,www.vbspu.ac.in,99
697,"All India Institute Of Medical Sciences, Rishikesh",Institute of National Importance,www.aiimsrishikesh.edu.in,99
698,"Dev Sanskrit Vishwavidyalaya Gayatrikunj, Haridwar",State Private University,www.dsvv.ac.in,99
699,"Doon University, Dehradun",State Public University,www.doonuniversity.ac.in,99
700,"Forest Research Institute, Dehradun",Deemed University-Government,www.icfre.fri.gov.in,99
701,"G.B. Pant Universtiy Of Agriculture And Technology, Pantnagar",State Public University,www.gbpuat.ac.in,99
702,Graphic Era Hill University,State Private University,http://www.gehu.ac.in,99
703,"Graphic Era University, Dehradun",Deemed University-Private,www.geu.ac.in,99
704,"Gurukul Kangri Vishwavidyalaya, Haridwar",Deemed University-Government Aided,www.gkv.ac.in,99
705,"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal",Central University,www.hnbgu.ac.in,99
706,"Himgiri Zee University, Dehradun",State Private University,www.hzu.edu.in,99
707,"Indian Institute Of Technology, Roorkee",Institute of National Importance,www.iitr.ac.in,99
708,"Institute Of Chatertered Financial Analysts Of India, Dehradun",State Private University,www.iudehradun.edu.in,99
709,"Kumaun University, Nainital",State Public University,www.kunainital.ac.in,99
710,National Institute Of Technology Uttarakhand,Institute of National Importance,www.nituk.ac.in,99
711,"Sri Dev Suman Uttarakhand University, Badshahithol, Tehri",State Public University,www.sdsuv.ac.in,99
712,Swami Rama Himalayan University,State Private University,,99
713,"University Of Patanjali, Patanjali Yogpeeth, Haridwar",State Private University,www.universityofpatanjali.com,99
714,"University Of Petroleum And Energy Studies, Dehradun",State Private University,www.upes.ac.in,99
715,Uttarakhand Ayurved University,State Public University,,99
716,Uttarakhand Open University,State Open University,www.uou.ac.in,99
717,"Uttarakhand University Of Horticulture And Forestry, Bharsar",State Public University,www.uuhf.ac.in,99
718,"Uttaranchal Sanskrit University, Hardwar",State Public University,www.usvv.ac.in,99
719,"Uttaranchal University, Dehradun",State Private University,www.uttaranchaluniveristy.ac.in,99
720,"Uttrakhand Technical University, Dehradun",State Public University,www.uktech.ac.in,99
721,"Aliah University, Kolkata",State Public University,www.aliah.ac.in,99
722,"Bidhan Chandra Krishi Vishwavidyalaya , Nadia",State Public University,www.bckv.edu.in,99
723,"Burdwan University, Burdwan",State Public University,www.buruniv.ac.in,99
724,"Calcutta University, Kolkata",State Public University,www.caluniv.ac.in,99
725,"Indian Institute Of Engineering Science And Technology, Shibpur",Institute of National Importance,www.becs.ac.in,99
726,"Indian Institute Of Science Education & Research (Iiser), Kolkata,",Institute of National Importance,www.iiserkol.ac.in,99
727,"Indian Institute Of Technology, Kaharagpur",Institute of National Importance,www.iitkgp.ac.in,99
728,"Indian Statistical Institute, Kolkata",Institute of National Importance,www.isical.ac.in,99
729,"Jadavpur University, Kolkata",State Public University,http://www.jaduniv.edu.in,99
730,"Kalyani University, Kalyani",State Public University,www.klyuniv.ac.in,99
731,"Kazi Nazrul University, Asansol",State Public University,http://www.knuedu.in,99
732,"National Institute Of Technology, Durgapur",Institute of National Importance,www.nitdgp.ac.in,99
733,"Netaji Subhash Open University, Kolkata",State Open University,www.wbnsou.ac.in,99
734,"North Bengal University, Darjeeling",State Public University,www.nbu.ac.in,99
735,Presidency University,State Public University,www.presiuniv.ac.in,99
736,"Rabindra Bharati University, Kolkata",State Public University,www.rbu.ac.in,99
737,"Ramakrishna Mission Vivekananda Educational And Research Institute, Howrah",Deemed University-Private,www.rkmvu.ac.in,99
738,Sidho-Kanho Birsa University,State Public University,www.skbu.ac.in,99
739,"The West Bengal National University Of Juridicial Sciences, Kolkata",State Public University,www.nujs.edu,99
740,"The West Bengal University Of Health Sciences, Kolkata",State Public University,http://www.wbuhs.ac.in,99
741,"University Of Gour Banga, Malda",State Public University,www.ugb.ac.in,99
742,"Uttar Banga Krishi Vishwavidyalaya, Cooch Behar",State Public University,www.ubkv.ac.in,99
743,"Vidya Sagar University, Midnapore",State Public University,www.vidyasagar.ac.in,99
744,"Visva Bharati, Shantiniketan",Central University,www.visva-bharati.ac.in,99
745,"West Bengal State University, Kolkata",State Public University,www.wbsubregistration.org,99
746,"West Bengal University Of Animal And Fishery Sciences, Kolkata",State Public University,www.wbuafscl.ac.in,99
747,"West Bengal University Of Technology, Kolkata",State Public University,http://www.wbut.ac.in,99
748,"Pandit Bhagwat Dayal Sharma University Of Health Sciences, Rohtak",State Public University,http://http://uhsr.ac.in,99
749,"Rani Channamma University, Belagavi",State Public University,http://http://www.rcub.ac.in,99
750,Other,Other,,
